url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart
http://www.billboard.com/charts/hot-100/1982-04-03,4/3/1982,8,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,14,8,5
http://www.billboard.com/charts/hot-100/1982-04-10,4/10/1982,6,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,8,6,6
http://www.billboard.com/charts/hot-100/1982-04-17,4/17/1982,6,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,6,6,7
http://www.billboard.com/charts/hot-100/1982-04-24,4/24/1982,5,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,6,5,8
http://www.billboard.com/charts/hot-100/1982-05-01,5/1/1982,5,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,5,5,9
http://www.billboard.com/charts/hot-100/1982-05-08,5/8/1982,4,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,5,4,10
http://www.billboard.com/charts/hot-100/1982-05-15,5/15/1982,3,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,4,3,11
http://www.billboard.com/charts/hot-100/1982-05-22,5/22/1982,2,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,3,2,12
http://www.billboard.com/charts/hot-100/1982-05-29,5/29/1982,2,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,2,2,13
http://www.billboard.com/charts/hot-100/1982-06-05,6/5/1982,2,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,2,2,14
http://www.billboard.com/charts/hot-100/1982-06-12,6/12/1982,2,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,2,2,15
http://www.billboard.com/charts/hot-100/1982-06-19,6/19/1982,14,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,2,2,16
http://www.billboard.com/charts/hot-100/1982-06-26,6/26/1982,17,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,14,2,17
http://www.billboard.com/charts/hot-100/1982-07-03,7/3/1982,68,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,17,2,18
http://www.billboard.com/charts/hot-100/1982-07-10,7/10/1982,85,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,68,2,19
