"t","value"
"230","-5.2745910000000045"
"231","-5.321971000000005"
"232","-5.445245000000012"
"233","-5.349421"
"234","-5.431378000000003"
"235","-5.404461999999998"
"236","-5.291969000000003"
"237","-5.279669000000004"
"238","-5.428291000000002"
"239","-5.615254000000009"
"240","-5.478581000000005"
"241","-5.230735000000002"
"242","-5.331663999999996"
"243","-5.727668000000003"
"244","-5.938176000000009"
"245","-5.662813999999992"
"246","-5.612544999999994"
"247","-5.6778229999999965"
"248","-5.888725999999998"
"249","-5.979841999999997"
"250","-5.751347000000005"
"251","-5.5479949999999985"
"252","-5.545365000000002"
"253","-5.795299"
"254","-6.039746999999986"
"255","-5.966636999999983"
"256","-5.792509999999984"
"257","-6.0556939999999955"
"258","-6.058416999999994"
"259","-6.064546999999997"
"260","-6.659898999999997"
"261","-6.399737"
"262","-6.328977000000004"
"263","-6.549637000000021"
"264","-6.458502999999997"
"265","-6.067821999999994"
"266","-5.947729999999999"
"267","-5.992291000000009"
"268","-6.208887999999998"
"269","-5.997093999999991"
"270","-5.994532999999987"
"271","-6.029055999999994"
"272","-6.3969609999999895"
"273","-6.353274999999993"
"274","-6.372735999999999"
"275","-5.766528000000011"
"276","-5.771360000000007"
"277","-6.259564000000005"
"278","-5.679085000000004"
"279","-8.793352380952383"
